text,margin,prediction
Breaking: Secret plan revealed that will change everything! Click to see what they don't want you to know.,-0.610029324281524,0.0
"WASHINGTON (Reuters) - The U.S. Senate passed the bill on Tuesday after hours of debate, according to lawmakers.",0.317559452457384,1.0
You won’t believe what Hillary did next! (video) This is the most shocking thing you'll see today.,-0.7558814330004666,0.0
LONDON (Reuters) - Oil prices rose on Monday as investors reacted to new economic data and supply forecasts.,0.30093523816316387,1.0
"Study finds new treatment improves outcomes in early trials, researchers said, but larger studies are needed.",-0.16036610632862264,0.0
BREAKING NEWS: Government CONFIRMS aliens are real — mainstream media SILENT on the announcement.,-0.5850593076748303,0.0
"ROME (Reuters) - The Italian parliament approved the budget measure late Wednesday, the finance ministry said.",0.6752433259577217,1.0
Exclusive: Leaked emails prove the whole election was rigged — share before it’s deleted!,-0.7178515061947068,0.0
BERLIN (Reuters) - Germany's foreign minister called for renewed talks as tensions increased in the region.,0.3035190883167325,1.0
"Factbox: Key points from the draft U.N. sanctions resolution, including limits on exports and financial measures.",-0.3043171141112948,0.0
Shocking report: mind blowing cost of illegals is highest ever… numbers released will make you furious!,-0.8257206789366351,0.0
"NEW YORK (Reuters) - Shares closed higher on Friday after gains in technology stocks, traders said.",0.5298529539580787,1.0
"Scientists at a university released a dataset and code to replicate their findings, improving transparency.",-0.32546749292677685,0.0
"BREAKING: Activist judge orders recount to begin at noon on Monday, insiders say it could change everything.",-0.5524161430144079,0.0
"SYDNEY (Reuters) - Australia said it would move asylum seekers to a new detention center, officials said.",0.7573751476449218,1.0
This one weird trick will cure every disease overnight — doctors hate it!,-0.7057111989611897,0.0
